Number,Date,Text
35,2020-09-06,I was asked to understand the pressure an #MIT professor was under in this Covid climate while never being asked my position. My mother died from #Covid19. My father is post Covid with dementia. But... your CI  and  interest rate are of my top concern? #FOH. Be a human first Profs.
36,2020-09-06,"My mom's in a home 4 dementia. Her drs said I'd b held 4 elder abuse if I let her go back home. I'm disabled Put her in a place she liked. She wasn't even all unpacked when Covid hit. Mar 9, everything locked up. Haven't seen her since. Opened in Aug outside, but too hot. ... /1"
37,2020-09-06,My godmother’s mother. The care-home she was in is one that specialises in providing care to people with dementia; so when Covid-19 went tearing through it wasn’t “just*” people in their 90s like her who died. *because as we know the elderly’s deaths don’t count 🤨😠
38,2020-09-06,"Okay, would he have died if he didn't get covid. That's the difference. My dad had dementia. He got pneumonia and that was the cause of death. It they can't say he died of the head injury, they can't list that on the death cert. Covid chose the ending in this case."
39,2020-09-05,"Sports is an escape for me. Gets my mind off of the stress if my job. I work in a hospital, ever hear of covid-19? Dementia, Cancer and Alcoholism to name a few things. That's why I need to escape. Players are free to protest, kneel whatever. I just want to watch a game."
40,2020-09-05,oh also your loved ones have to be dying from covid for it to be novel at this point apparently lol my grandmas been dying for years because she has dementia and barely remembers who i am and has panic attacks every 30 seconds and strokes constantly but won’t tell anyone bc she
41,2020-09-05,Being able to see my mum in the nursing home before she passed over. (Dementia) And then having to have a covid-19 funeral for her large family instead of a normal one.
42,2020-09-05,"🤣 Why is this so hard for y’all to understand? Some of the other causes include: Poisoning Accidents Adverse events Dementia Sepsis Cancer Heart failure Wow, I had no idea...COVID now causes cancer and heart failure now too?!? Where’s my mask?!?! "
43,2020-09-05,"I’m so sorry for your loss. My beautiful, sweet, kind Mom just passed a few days ago after battling dementia as well. It is a disease that robs you of so much, and such a difficult time to lose a loved one during Covid. My thoughts are with you and your family."
44,2020-09-05,"180,000 dead Americans. Lmao. 10,000 due to Covid, thank you. My 83 year old aunt w/dementia in nurse home, q-tined since Feb, just had and recovered from “deadly” Covid in THREE DAYS. The election infection!"
45,2020-09-05,"...I guess I’m pretty good with my patients who have dementia. Doing anything with a child takes twice as long and you have to speak really clearly and slowly at times, and those skills have been really useful..."
46,2020-09-05,This was one of my fav stories we have done lately. My wife works in skilled nursing & tells me all the time how her patients have struggled since COVID-19 and not seeing family. Many have dementia  and  don’t understand. So happy for this couple! ❤️ 
47,2020-09-05,"Feel your pain Chris ,my mum had vascular dementia was sad watching her memories fade,might sound bad but I was kinda glad when in her care home covid took her before she totally forgot her memories"
48,2020-09-05,"Just had a bit of worrying news, a member of staff at my 86 year old dementia suffering dads care home has contracted Covid  and  the care home has gone into full lockdown."
49,2020-09-05,"Speaking of old ladies in nursing homes, my stepgrandmother, who is ancient and far gone from dementia, has COVID now. I just hope it doesn't cause her any suffering."
50,2020-09-05,Excuse my ignorance but does a sympathetic trend have an inverse relationship? My dad has dementia and is mid 70s. He’s a die hard Vietnam vet. I’m concerned he will get covid at the VA. The VA should give HCQ as a prophylactic to at risk vets.
51,2020-09-05,It's been so hard to only be able to see my mother-in-law who has dementia through a window! Before Covid I sat with her every night for 4-5 hours until she went to sleep. 😕 I love those lucid moments! 😊
52,2020-09-05,"Well my dad was in a nursing home, we were not allowed to see him. He also had dementia. Covid is the result and on his death certificate. He also had bed sores which tells me he’s been staring at a ceiling for months because he couldn’t speak to defend himself."
53,2020-09-05,I asked my friend how her mom was.. I hadn't seen her in months..she had dementia..she was in nursing home...need I say more? #RIP blood on YOUR hands DICTATOR @NYGovCuomo #COVID 
54,2020-09-05,"My mother lacks capacity - she has vascular dementia, not covid ( and  is 90) Presenting with a mobility issue at A and  E, staff allowed no one whatever past the entrance with her - 'because -covid19' She doesn't even know her address, never mind why she was there /1"
55,2020-09-04,You are requiring all LTC Facilities to begin conducting routine facility wide Covid testing. My loved one’s facility has not had ONE resident test positive. My LO has dementia. She is a very frail. Are you going to hold her down to get the negative results? Outrageous and cruel!
56,2020-09-04,Exactly! Same my dad has dementia he’s 76 in a care home survived covid 🙏🏼 but still not able to visit him 😔 But I can go the pub or gym or swimming #Crazy #Covid19UK @BorisJohnson
57,2020-09-04,"I can swim, go to the gym and gamble but no chance of seeing my mum in a care home with end stage dementia which has accelerated by having covid. Five months of visits stolen away from us thanks to lockdown, as our loved one continues to deteriorate. A cruel race against time."
58,2020-09-04,"Not great. I’m very close with my grandma, she’s two states away and not doing well. Within a matter of months dementia has appeared and gotten severe. Because of Covid, I’m afraid she’ll pass before I can see her again."
59,2020-09-04,My dad was finally due to have his dementia assessment today after a long covid-related delay. My dad refused his consent for his dementia assessment today.
60,2020-09-04,"I got laid off due to Covid-19, my father has dementia and I help pay his bills. I have a 2 and 3 yr old at home and I haven't been able to find a job, although I have been steadily seeking employment. 😓 please, anything helps $veeurdaneta13"
61,2020-09-04,"My Poppop, in the early stages of dementia, is alone in a hospital right now because of covid regulations and apparently every time someone walks into his room he asks if it’s my mommom coming in. My fucking heart 💔"
62,2020-09-04,"TFW your mother says she thinks she has dementia  and  should go on Aricept  and  you tell her to tell her doctor so she can get testing  and  she goes to the doc  and  forgets all about it  and  talks about her arthritis instead. (I'd have gone with, but 500km away + COVID. My dad went.)"
63,2020-09-04,It’s true for some but my homegirls gma died from COVID Last Saturday and all she had was a small touch of dementia . She wasn’t terminally ill.
64,2020-09-04,I haven’t seen my Mum since March who has dementia and in a care home. The home is Covid free and it’s difficult I know to decide but cannot continue to have no contact with family for a continued extended period. #familymatters
65,2020-09-04,In memory of my late Mum suffered from Dementia. Prevention is crucial. 75 Persen Kematian Pasien COVID-19 adalah Penderita Demensia 
66,2020-09-04,"It doesn't matter! They wouldn't have died YET if they didn't catch covid. My 80 year old grandad is a type 2 diabetic, had cancer, a little overweight and is in the very early stages of dementia. Is it alright if he dies now then? What if we don't want him to die yet? Oh well?"
67,2020-09-04,"He has dementia so bad now , he does not know or comprehend my mom or his wife are gone , plus the nursing home is on lock down because of Covid-19 , not sure I will ever see him again right now ."
68,2020-09-04,I am so very sad to see this Chris - I lost my dad this March to Cancer & Dementia just before Covid hit - so we were with him as he passed away in his care home - I cannot imagine how stressful and upsetting it is for those who have not been able to spend time with their loved
69,2020-09-04,I know exactly how you feel. I lost my mum at Easter after battling dementia. Covid eventually ganged up as well. Terrible to see a parent decline so badly.
70,2020-09-04,"I visited my grandpa, Poppi, at his nursing home yesterday. Due to severe dementia and a rapid decline, he had to be separated from my grandma, Nonni. She lives in assisted living but does not qualify for a nursing home. They had to be separated during COVID."
71,2020-09-04,My Oma (my last living grandparent and by FAR my fave) was diagnosed with dementia yesterday. That appointment was supposed to happen in March but got pushed back due to COVID. We won’t know the severity until the neurologist reviews the CT scan...which can again take months 😞
72,2020-09-04,"Timely!Afraid my 90 year old mother with dementia and complex nursing needs contracted and survived Covid when there were no tests.Not to worry,being evicted from her £17m+ care home by @lpoolcouncil should see her off. #millvina #brushwood #becausewecare #allasbadaseachother"
73,2020-09-04,No they were not. My loved ones didn't die from Covid but you thought it would be a good idea to put it on the death certificate. Didn't know dementia and cancer were linked to Covid. Stop spreading the lies and give us the REAL numbers
74,2020-09-04,"My Dad's 70th birthday was always supposed to be a celebration. Family, friends, laughter. But the reality is my dad has dementia and Covid has robbed us of even seeing him. "
75,2020-09-04,"I support police but I also believe white supremacists have infiltrated law enforcement. My thoughts are with the black and brown officers who are hurting right now, many of whom are dying of COVID."
76,2020-09-04,"Had a 20 minute conversation with Dad tonight. We talked sports, beer and covid. Dad has dementia and won't remember the chat. I will remember it the rest of my life. #Dodgers #WhiteSox and #coldbeer and covid sucks!"
77,2020-09-04,"Well, my anonymous sources say he has dementia AND Covid! 🤣"
78,2020-09-04,And this is my problem with the whole thing. People with late stage dementia and stage 4 cancer are being put down as a COVID death which is absolute horse shit.
79,2020-09-04,Oh Jan - I just lost my mom to dementia  and  Covid and this so painful. My thoughts are with you and your folks.
80,2020-09-04,"It is true, Rory. My dad who has dementia, is in a nursing home. We get 30 min once a week, otherwise it’s thru a 2in slit in window. He’d 2 go 2 hospital for a few hrs, had a temp &gt;in isolation for 2 weeks in NH. He had a life before Covid. Now he doesn’t."
81,2020-09-04,"His last years were hard. My understanding was he contracted Lyme disease twice & had a bunch of other health issues after that, including dementia  and , at the end, COVID. Awfully tough breaks for the athlete I remember, to whom so many Long Island kids of my age looked up."
82,2020-09-03,my dad died jan 3;“dementia complications”.was in hospice care. also had double aspiration pneumonia  and  about two weeks before i had a bad cough that came out of nowhere. covid????? we’ll never know. suspect dementia wording cause that got him admitted to hospice.
83,2020-09-03,and what am I supposed to do? think about what affliction Rachel Levine has? As far as my understanding goes she has no affliction. That’s my opinion. Are you telling me she has covid? ALS? Dementia? What do you think she has?
84,2020-09-03,Same happened to my sister inlaw. Oklahoma City. Her husband was in a nursing home. But they wouldn'tvlet her see him. He died but didn't have COVID. Dementia at 75.
85,2020-09-03,"This is awful. I haven’t left my community since 3-3-20. I look like the old liberal hippy I am. That puts me at risk of being accosted by a MAGA. This is FL folks. Our MAGAs are old, drink 2 much, over use prescription drugs & dementia comes into play. MAGA  and  COVID keep me home. "
86,2020-09-03,"Hell broke loose when both my parents (dad, a dementia patient wheelchair bound and mom with BP, diabetes) got detected with CoVid. It was the most challenging time of our lives but would like to highlight a few things in this thread which defy lot of myths."
87,2020-09-03,"My mother died from dementia in December. They list it as a cause of death. Sometimes the body is ""looking for a reason to die"". That was a quote for several nursing home employees. Listing those deaths as COVID is not really accurate and it distorts the virus crisis."
88,2020-09-03,"My Dad's next door neighbour is taking matters further over the same thing - his mother was 90 and in advanced stages of dementia, cause of death = covid, no test."
89,2020-09-03,"Not for nothing, but she could have pre dementia. my parents best friend developed it late 40’s. maybe not covid? Either way, she’s a massive drama queen and should’ve been taking all those supplements all along 🤷‍♀️"
90,2020-09-03,"The rest of the deaths marked down as covid deaths were people who'd actually died from the other co-morbidities they had - heart/kidney failure, dementia (like my great aunt), etc."
91,2020-09-03,"My Mum’s did 2 weeks before official lockdown, they still had 22 deaths. Most people are fine with COVID. The vulnerable should shield but the rest of us get on with living. My original point was that I don’t appreciate politicians using dementia patients as political pawns"
92,2020-09-03,"1/7 Personal one here. My mum is in her last hours, dying in a nursing home. Because she is at the 'end of life', her children are able to visit one person at a time. Her death won't be recorded as a Covid death, but as a resident with dementia, and having had to be isolated for"
93,2020-09-03,"How sad. COVID is bad enough, but Lewy body dementia is a complete nightmare. It took my grandfather, and it's taking my dad's father-in-law right now. Condolences to his family. "
94,2020-09-03,It's about shinning a light into dark corners. I've watched the trailer. And having recently lost my dad to the same (and covid) I'm so pleased that we are trying to rid the stigma that even exists between different types of dementia. And it's not that rare now as a diagnosis.👍
95,2020-09-03,Love it!!! Its all about memories! When my lovely passed recently..covid and dementia..music was a great comfort. I ll never forget him moaning..turn that record off!!! Awww And of course it was a Rick Astley song! Give us a song Rick to help us along!!
96,2020-09-03,"R.I.P., sir, suffering from both dementia and COVID-19--double whammy! "
97,2020-09-03,My elderly mom passed away last week after being in lockdown since February. My friend’s mom passed away this week. Both elderly with dementia living in a facility deprived of family contact. Protecting them from covid is killing them. 💔
98,2020-09-03,People with dementia are much more susceptible. 22 residents have died of COVID in my Mum’s home without visitors
99,2020-09-03,She doesn’t know as any mail comes to me & unfortunately these days she’s so very confused ( lockdown/Covid has had a terrible effect on her condition) she wouldn’t understand what it was about. This is partly my point they want to charge people with Dementia for a tv licence 🤬.
100,2020-09-03,He was one of my favorites! I heard Lewey Body dementia and COVID. Tough combination.
101,2020-09-03,My heart can’t take it. Lost my Mom to Lewy Body Dementia 1 yr ago next week. I would never let her have that much stress. Let him hangout with his grandkids  and  enjoy his time he has left!
102,2020-09-03,"Covid too. He had Lewey body dementia which my dad had. Less memory loss, more “seeing” things that don’t exist."
103,2020-09-03,"""Lewy body dementia and COVID-19"" Watching the @Mets as a little girl with my father... 💙🧡 #RIP"
104,2020-09-03,"I already posted on that, right after my original post. To repeat - apparently he couldn't enjoy his Golden Years that much, as he had Lewy Body Dementia - which drove Robin Williams to suicide. He contracted COVID-19,and died. If you do search, you'll see."
105,2020-09-03,I’m mystified about how he would have gotten Covid when he’s been basically housebound with dementia for more than a year.
106,2020-09-03,Cause of death was Lewy Dementia and #COVID__19 Hurts my heart.
107,2020-09-03,Agreed ...my father also died at 75 from Lewy body dementia. To add COVID is horrific. Best to his family. 
108,2020-09-03,"That makes three things I heard: dementia, Lyme Disease and now possibly COVID. He was a big reason I started following baseball. My dad was an avid Yankee fan, so we had quite the rivalry"
109,2020-09-03,This guy was the one my coaches pointed to as a kid the way I did with Maddox. As someone that lost a parent from Lewy Body Dementia I assure you Covid played zero role in his fate! He was late stage LBD! RIP to a legend! 
110,2020-09-03,My father lived for many years with this dementia and I would have been devastated if he had died of COVID.
111,2020-09-03,"My Aunt used to say “you have to look after yourself to look after others” - it’s working for me - I employ folk who are very thankful and pay rent for a long time loyal friend who lost his job with Covid, I’m always there for my cousin who’s looking after my Aunt with Dementia."
112,2020-09-03,"#RIP Just to be clear, Covid is what ended up taking his life, but he suffered from Lewy Bodies dementia, which is a horrible disease. We lost my stepmother to it at the end of last year.I only hope is that his family talks about it publicly."
113,2020-09-03,"So sad. My dad was a fan. ""The Valley legend passed away on Monday, Aug. 31 due to complications of Lewy body dementia and COVID-19, according to the National Baseball Hall of Fame."""
114,2020-09-03,So different stories coming out.. Lymes and others say he had covid with his dimentia.. Certainly doesnt change the sad narrative. But i am curious... My mother in law has Lewey Body Demntia too and is in FL.. Always so concerned for her getting covid.
115,2020-09-03,"I just saw. Complications from Lewy body dementia and Covid. Growing up I always tried to emulate his windup. The arms lifted high over the head, the big knee kick up to the chest and the explosion through the ball with my knee touching the dirt."
116,2020-09-03,"well, it is unfortunate to say this, but after a long time of suffering from dementia, and his short lasting case of COVID-19, my grandfather has officially died on the morning of September 2nd, 2020."
117,2020-09-02,"My brother Rick is being transferred to another hospital to get a definitive diagnosis of ALS. Didnt see him all year due to covid, went to visit and he could hardly walk, eat, hes slurring, has dementia, atrophied muscles. We thought stroke and now hearing ALS. Heartbreaking."
118,2020-09-02,"My mum is 94. She is physically fit but dementia is speeding up. it's heartbreaking. She has a DNR for hospital. If she got COVID we wouldn't ask to extend her life but we would prefer she didn't die with crushed lungs, Mr Tony let's kill old people Abbott."
119,2020-09-02,My mother in law is in a facility in Washington state that has been on lockdown since March. She has had COVID and recovered. She has some dementia and wonders why none of her 8 children have been to she her. BARS AND RESTAURANTS ARE OPEN. WHY CANT MY WIFE SHE HER MOTHER.
120,2020-09-02,"Haven’t seen my mom of 95 since March . She’s had Covid, she’s recovered and she has Vascular dementia and Alzheimer’s.Our elderly are being kept prisoners? Who are we supposed to be protecting?"
121,2020-09-02,"My girlfriend, a student from Poland has been away from her family due to covid and has helped me look after my mother who has dementia, she has smiled the entire time and kept me sane, I would love to do so many special things with the money as she deserves it #PrettyLittlePrize"
122,2020-09-02,My uncle died from dementia and was listed as a COVID death fuck off 
123,2020-09-02,"Incredible and very emotional thread Jazz. Now I guess I’ll be adding my uncle to that sad drive thru, he died on Saturday in Detroit after a long battle with dementia and later covid. Thank you for sharing my brother.🙏🏾"
124,2020-09-02,"My point being we can't blame others 4 our bodies falling victim to virus or genetics, eating habits, & other diseases. We want every moment with them, but if cognizent, I don't know of many terminal patients who would want ""Covid"" used on their death cert 4 dementia/tumor/etc"
125,2020-09-02,"Hi Amy, lost my mom to brain tumors from lung cancer 4 yrs ago & losing a parent mentally is horrific & sorry 4 ur loss. I wouldn't blame her death on Covid if infected by it. She was terminal anyway. Dimentia is terminal too but medicine won't rule it as such b/c it takes longer"
126,2020-09-02,My mother recently passed and her death cert listed Dementia/Covid. Please explain what you wonder about.
127,2020-09-02,"In every case, it was the COVID19 that cause the death, not the underlying condition. My dad passed because of pneumonia ""technically""--but it was dementia that really killed him. He forgot how to swallow, and that caused the pneumonia. COVID caused these deaths."
128,2020-09-02,"My cousin died last night, alone, in a nursing home. He had recovered from a covid hospitalization months ago, so I don't think covid is direct cause. However, the pandemic isolation/separation from family deprived him of hope, he slid deep into dementia, stopped eating, gave up."
129,2020-09-02,Thanks. I hope you do as well. I needed that. My gramma passed away Monday. She suffered from dementia and then tested poaitive for COVID. 24 hours later. She was 92. Much 💘
130,2020-09-02,"Thank you. Good to see this right now as my mother who has dementia is in the ER and I'm waiting on results from a rapid Covid test since she has a fever and cough. Can't go back to comfort her. So many in the same situation now, but when it's you it's still hard."
131,2020-09-02,"Thanks for your concern for the people who can’t make it to the polls, for caretakers who can’t leav their patients for a second, etc. Myself, well I have a daughter with Stage IV breast cancer, a husband with Dementia and I don’t riot or protest. I don’t want or deserve COVID-19"
132,2020-09-02,Hey! I am 73. My mom just passed from dementia and COVID-19. Can you keep your negative thoughts to yourself?
133,2020-09-02,"I’m so sorry Theresa! I feel your pain. While my mother has been lucky enough to not get COVID-19, she is in assisted living with dementia and her swift decline is unbearable some days. I get to see her at a distance, however I’m afraid she will die during this mess! 🙏🏼 for you"
134,2020-09-02,"My mom died in early May in a nursing home. She was 70. She had dementia. Due to her dementia she wasn't able to have a productive cough. A cold, flu, pneumonia, Covid all likely would have the same result."
135,2020-09-02,#cancer #dementia #kidneyfailure if you leave in then take off at least 50k deaths from #covid #statistics #health and check #video #fluseason #deaths - underlying medical conditions 40k only Don't shut down #economy for that! #wakeup #mediascum
136,2020-09-02,"Then the rate of infection will.come down. Im just very dis-heartned and very upset that I havent been able to see my father who has dementia, had Covid 3 times and beat it, I'm the only family he has and I cant see him again..."
137,2020-09-02,"Depends, is it my 84 year-old uncle with dementia or my 6 yr old niece? Because my niece has a higher chance of getting killed by lightning or space debris then by Covid. She has a much higher chance of dying of the flu. As for my uncle, he doesn’t live in Cuomo’s New York"
138,2020-09-02,"Thousands die from the following each year: Cancer, heart disease, flu, suicide, natural causes, and Dementia (to name a few.) Do we destroy the economy and close borders for any of these? Why is COVID any different? It has a survival rate of over 98% in Australia alone."
139,2020-09-02,"In the UK there are over 850,000 living with dementia, costing our economy £26bn each year. People with dementia have been hit hardest by the pandemic, accounting for 1 in 4 COVID-19 deaths. It's clear that research into dementia is critical, now more than ever."
140,2020-09-02,"Sorry but no Sir. Reason for me, say NO TO THE MASK is that my mother passed away Aug 16 2020. She died from Dementia in Lexington KY she never had COVID-19. She was in Hospice for a week and there was nothing done for her that fell under any COVID-19 CARE. Reported COVID DEATH, WHY? "
141,2020-09-01,HC medpod work well amid covid-19. HC recovery from dementia  and  progress. Led drug war are occult  and  cut. Blasphemy bullshit! HC work boycott bcs Sillicon Valley  and  Queen Mom can't compete with the Castle  and  HC work. @AC360 @drsanjaygupta @donlemon @HalaGorani @camanpour @CNN @cnni
142,2020-09-01,"PS: Personally interested in COVID prevention among folks that have dementia. A normal day can be difficult, adding the complexity of COVID is mindboggling. In our family we struggled to explain why wearing a mask was needed to my dad who has dementia. You're doing important work"
143,2020-09-01,"My dad who has dementia is in a nursing home, had to go briefly to hospital. Had slight temp so was put in Covid ward. This meant he’s had to be isolated in NH for 2 weeks. In a room. Alone. For 2 weeks. It’s inhumane. We need 2 learn to live with this virus"
144,2020-09-01,Chronic stress is honestly just my life even outside of COVID. I fully expect to get dementia if I make it to old age 
145,2020-09-01,Sir Superspreader. The Count of COVID-19. The Duke of Dementia. Lord of the Laughing Academy. Why is he still in office? 👹
146,2020-09-01,"I don’t know if it’s the CoVid Fatigue, remote learning school prep, having my darling demon children up my ass (FOR THE LOVE OF GOD, JUST EAT AN APPLE, I’M TIRED OF FEEDING YOU PEOPLE) or just run-of-the-mill dementia, but I’m more shitshowy than usual lately."
147,2020-09-01,"Yeah. It was scary putting my Mum into a care home at the beginning of Covid, but she has made some dramatic improvements whilst she has been there. The experts are now saying that it’s not dementia but just old age. The effect still seems the same though.💁‍♂️"
148,2020-09-01,Meanwhile my 88 year old father who has zero understanding of “on line” consultations can’t get a GP appointment so having survived lockdown and dementia isolation Covid-19 we will let him die anyway #Disgraceful
149,2020-09-01,The cdc has a table (in article I sent you) stating only 6% of deaths is Covid only. My grandfather suffered with dementia and multiple heart surgeries in past 2 years died in May they said Covid. Really? Nah it wasn’t Covid
150,2020-09-01,my Uncle had early onset dementia and died of Covid in a care home in may
151,2020-09-01,"We lost my father-in-law this morning. He died from Covid. I don’t care that he was old, had dementia and was in memory care. None of this is a reason to die in such a terrible way. Instead of dismissing these deaths, we should try to prevent them."
152,2020-09-01,"My Grandad went into respite care on Sunday. We were told he would have to self isolate until his covid test came back, this would take 24 hours. He's 92, partially sighted, and has vascular dementia and alzheimers. He still does not have his test results."
153,2020-09-01,"My brother goes to campus and in three days gets covid. We have immuno-compromised family members. So when you inevitabily shut your doors and he comes home, will you give a fuck if we all get covid? No. Will you care that I won’t be able to see my grandmother with dementia? No."
154,2020-09-01,It’s all ok for you to go without a mask and/or not social distance...until you get the virus or God forbid your loved one develops COVID and can not recover. #ImACaregiver #MyParent #Alzheimers #dementia #immunocompromised #FrontLineWorkersLiveHere #MaskUpMN
155,2020-09-01,"As a lay person, I’m concluding that in July 2020, out of the ten most common causes of death per 100,000, Alzheimer’s & Dementia was top with COVID-19 eighth. Assuming you’re an expert, feel free to correct any mistakes made with my interpretation of the data."
156,2020-09-01,"Yep. My 91 year old uncle with dementia. In VA nursing home. Hadn’t seen family in 5 weeks. Asymptotic. Covid on death certificate. No normal funeral. VA received $13,000. No one believes it was CV. Loneliness is a killer too."
157,2020-09-01,"I agree my dad died from covid. we're missing key issues re the public as a whole .we are assuming everyone understands information. With dementia my dad wouldn't know the guidelines. Live stream, or media. Info Reaching people effectively is vital. Never assume."
